State,lat,lon
Wisconsin,44.5,-89.5
West Virginia,39,-80.5
Vermont,44,-72.699997
Texas,31,-100
South Dakota,44.5,-100
Rhode Island,41.700001,-71.5
Oregon,44,-120.5
New York,43,-75
New Hampshire,44,-71.5
Nebraska,41.5,-100
Kansas,38.5,-98
Mississippi,33,-90
Illinois,40,-89
Delaware,39,-75.5
Connecticut,41.599998,-72.699997
Arkansas,34.799999,-92.199997
Indiana,40.273502,-86.126976
Missouri,38.573936,-92.60376
Florida,27.994402,-81.760254
Nevada,39.876019,-117.224121
Maine,45.367584,-68.972168
Michigan,44.182205,-84.506836
Georgia,33.247875,-83.441162
Hawaii,19.741755,-155.844437
Alaska,66.160507,-153.369141
Tennessee,35.860119,-86.660156
Virginia,37.926868,-78.024902
New Jersey,39.833851,-74.871826
Kentucky,37.839333,-84.27002
North Dakota,47.650589,-100.437012
Minnesota,46.39241,-94.63623
Oklahoma,36.084621,-96.921387
Montana,46.96526,-109.533691
Washington,47.751076,-120.740135
Utah,39.41922,-111.950684
Colorado,39.113014,-105.358887
Ohio,40.367474,-82.996216
Alabama,32.31823,-86.902298
Iowa,42.032974,-93.581543
New Mexico,34.307144,-106.018066
South Carolina,33.836082,-81.163727
Pennsylvania,41.203323,-77.194527
Arizona,34.048927,-111.093735
Maryland,39.045753,-76.641273
Massachusetts,42.407211,-71.382439
California,36.778259,-119.417931
Idaho,44.068203,-114.742043
Wyoming,43.07597,-107.290283
North Carolina,35.782169,-80.793457
Louisiana,30.39183,-92.329102
"Washington, D.C.",38.9072,77.0369
