Rank,State,Population,Population65+,Population65+%
1,Maine,"1,338",276,20.6
2,Florida,"21,299","4,358",20.5
3,West Virginia,"1,806",360,19.9
4,Vermont,626,121,19.4
5,Delaware,967,181,18.7
6,Montana,"1,062",199,18.7
7,Hawaii,"1,420",261,18.4
8,Pennsylvania,"12,807","2,336",18.2
9,New Hampshire,"1,356",246,18.1
10,South Carolina,"5,084",900,17.7
11,Oregon,"4,191",739,17.6
12,Arizona,"7,172","1,258",17.5
12,New Mexico,"2,095",366,17.5
14,Connecticut,"3,573",615,17.2
14,Michigan,"9,996","1,717",17.2
14,Rhode Island,"1,057",182,17.2
17,Iowa,"3,156",540,17.1
17,Ohio,"11,689","1,995",17.1
19,Arkansas,"3,014",512,17
19,Wisconsin,"5,814",985,17
21,Alabama,"4,888",827,16.9
21,Missouri,"6,126","1,034",16.9
23,South Dakota,882,147,16.6
24,Massachusetts,"6,902","1,139",16.5
24,Wyoming,578,95,16.5
26,Kentucky,"4,468",731,16.4
26,New York,"19,542","3,214",16.4
26,Tennessee,"6,770","1,110",16.4
29,North Carolina,"10,384","1,689",16.3
30,New Jersey,"8,909","1,439",16.1
31,Idaho,"1,754",278,15.9
31,Kansas,"2,912",462,15.9
31,Minnesota,"5,611",890,15.9
31,Mississippi,"2,987",474,15.9
35,Indiana,"6,692","1,055",15.8
36,Nebraska,"1,929",304,15.7
36,Nevada,"3,034",476,15.7
36,Oklahoma,"3,943",620,15.7
39,Illinois,"12,741","1,993",15.6
40,Louisiana,"4,660",718,15.4
40,Maryland,"6,043",931,15.4
40,Virginia,"8,518","1,315",15.4
40,Washington,"7,536","1,164",15.4
44,North Dakota,760,117,15.3
45,California,"39,557","5,669",14.3
46,Colorado,"5,696",808,14.2
47,Georgia,"10,519","1,460",13.9
48,Texas,"28,702","3,602",12.6
49,Alaska,737,87,11.8
50,Utah,"3,161",350,11.1
51,"Washington, D.C.",,,11.6
